tenured_Grand_total_sum,un_tenured_Grand_total_sum,tenured_Grand_total_men_sum,tenured_Grand_total_women_sum,tenured_American_Indian_or_Alaska_Native_total_sum,tenured_American_Indian_or_Alaska_Native_men_sum,tenured_American_Indian_or_Alaska_Native_women_sum,tenured_Asian_total_sum,tenured_Asian_men_sum,tenured_Asian_women_sum,tenured_Black_or_African_American_total_sum,tenured_Black_or_African_American_men_sum,tenured_Black_or_African_American_women_sum,tenured_Hispanic_or_Latino_total_sum,tenured_Hispanic_or_Latino_men_sum,tenured_Hispanic_or_Latino_women_sum,tenured_Native_Hawaiian_or_Other_Pacific_Islander_total_sum,tenured_Native_Hawaiian_or_Other_Pacific_Islander_men_sum,tenured_Native_Hawaiian_or_Other_Pacific_Islander_women_sum,tenured_Nonresident_alien_total_sum,tenured_Nonresident_alien_men_sum,tenured_Nonresident_alien_women_sum,tenured_Race_ethnicity_unknown_total_sum,tenured_Race_ethnicity_unknown_men_sum,tenured_Race_ethnicity_unknown_women_sum,tenured_Two_or_more_races_total_sum,tenured_Two_or_more_races_men_sum,tenured_Two_or_more_races_women_sum,tenured_White_total_sum,tenured_White_men_sum,tenured_White_women_sum,un_tenured_Grand_total_men_sum,un_tenured_Grand_total_women_sum,un_tenured_American_Indian_or_Alaska_Native_total_sum,un_tenured_American_Indian_or_Alaska_Native_men_sum,un_tenured_American_Indian_or_Alaska_Native_women_sum,un_tenured_Asian_total_sum,un_tenured_Asian_men_sum,un_tenured_Asian_women_sum,un_tenured_Black_or_African_American_total_sum,un_tenured_Black_or_African_American_men_sum,un_tenured_Black_or_African_American_women_sum,un_tenured_Hispanic_or_Latino_total_sum,un_tenured_Hispanic_or_Latino_men_sum,un_tenured_Hispanic_or_Latino_women_sum,un_tenured_Native_Hawaiian_or_Other_Pacific_Islander_total_sum,un_tenured_Native_Hawaiian_or_Other_Pacific_Islander_men_sum,un_tenured_Native_Hawaiian_or_Other_Pacific_Islander_women_sum,un_tenured_Nonresident_alien_total_sum,un_tenured_Nonresident_alien_men_sum,un_tenured_Nonresident_alien_women_sum,un_tenured_Race_ethnicity_unknown_total_sum,un_tenured_Race_ethnicity_unknown_men_sum,un_tenured_Race_ethnicity_unknown_women_sum,un_tenured_Two_or_more_races_total_sum,un_tenured_Two_or_more_races_men_sum,un_tenured_Two_or_more_races_women_sum,un_tenured_White_total_sum,un_tenured_White_men_sum,un_tenured_White_women_sum,tenured_un_tenured_Grand_total_sum,tenured_Grand_total_pct,tenured_Grand_total_men_pct,tenured_Grand_total_women_pct,tenured_American_Indian_or_Alaska_Native_total_pct,tenured_American_Indian_or_Alaska_Native_men_pct,tenured_American_Indian_or_Alaska_Native_women_pct,tenured_Asian_total_pct,tenured_Asian_men_pct,tenured_Asian_women_pct,tenured_Black_or_African_American_total_pct,tenured_Black_or_African_American_men_pct,tenured_Black_or_African_American_women_pct,tenured_Hispanic_or_Latino_total_pct,tenured_Hispanic_or_Latino_men_pct,tenured_Hispanic_or_Latino_women_pct,tenured_Native_Hawaiian_or_Other_Pacific_Islander_total_pct,tenured_Native_Hawaiian_or_Other_Pacific_Islander_men_pct,tenured_Native_Hawaiian_or_Other_Pacific_Islander_women_pct,tenured_Nonresident_alien_total_pct,tenured_Nonresident_alien_men_pct,tenured_Nonresident_alien_women_pct,tenured_Race_ethnicity_unknown_total_pct,tenured_Race_ethnicity_unknown_men_pct,tenured_Race_ethnicity_unknown_women_pct,tenured_Two_or_more_races_total_pct,tenured_Two_or_more_races_men_pct,tenured_Two_or_more_races_women_pct,tenured_White_total_pct,tenured_White_men_pct,tenured_White_women_pct,un_tenured_Grand_total_pct,un_tenured_Grand_total_men_pct,un_tenured_Grand_total_women_pct,un_tenured_American_Indian_or_Alaska_Native_total_pct,un_tenured_American_Indian_or_Alaska_Native_men_pct,un_tenured_American_Indian_or_Alaska_Native_women_pct,un_tenured_Asian_total_pct,un_tenured_Asian_men_pct,un_tenured_Asian_women_pct,un_tenured_Black_or_African_American_total_pct,un_tenured_Black_or_African_American_men_pct,un_tenured_Black_or_African_American_women_pct,un_tenured_Hispanic_or_Latino_total_pct,un_tenured_Hispanic_or_Latino_men_pct,un_tenured_Hispanic_or_Latino_women_pct,un_tenured_Native_Hawaiian_or_Other_Pacific_Islander_total_pct,un_tenured_Native_Hawaiian_or_Other_Pacific_Islander_men_pct,un_tenured_Native_Hawaiian_or_Other_Pacific_Islander_women_pct,un_tenured_Nonresident_alien_total_pct,un_tenured_Nonresident_alien_men_pct,un_tenured_Nonresident_alien_women_pct,un_tenured_Race_ethnicity_unknown_total_pct,un_tenured_Race_ethnicity_unknown_men_pct,un_tenured_Race_ethnicity_unknown_women_pct,un_tenured_Two_or_more_races_total_pct,un_tenured_Two_or_more_races_men_pct,un_tenured_Two_or_more_races_women_pct,un_tenured_White_total_pct,un_tenured_White_men_pct,un_tenured_White_women_pct,year,num_institutions,tenured_un_tenured_American_Indian_or_Alaska_Native_total_sum,tenured_un_tenured_American_Indian_or_Alaska_Native_total_pct,tenured_un_tenured_Asian_total_sum,tenured_un_tenured_Asian_total_pct,tenured_un_tenured_Black_or_African_American_total_sum,tenured_un_tenured_Black_or_African_American_total_pct,tenured_un_tenured_Hispanic_or_Latino_total_sum,tenured_un_tenured_Hispanic_or_Latino_total_pct,tenured_un_tenured_Native_Hawaiian_or_Other_Pacific_Islander_total_sum,tenured_un_tenured_Native_Hawaiian_or_Other_Pacific_Islander_total_pct,tenured_un_tenured_Nonresident_alien_total_sum,tenured_un_tenured_Nonresident_alien_total_pct,tenured_un_tenured_Race_ethnicity_unknown_total_sum,tenured_un_tenured_Race_ethnicity_unknown_total_pct,tenured_un_tenured_Two_or_more_races_total_sum,tenured_un_tenured_Two_or_more_races_total_pct,tenured_un_tenured_White_total_sum,tenured_un_tenured_White_total_pct
304758,129419,186765,117993,1193,662,531,29759,20058,9701,14551,7645,6906,16683,9161,7522,457,239,218,4100,2735,1365,5019,3106,1913,2172,1204,968,230824,141955,88869,65862,63557,483,211,272,14845,8193,6652,7901,3143,4758,7433,3703,3730,222,111,111,9650,6054,3596,5289,2810,2479,1438,658,780,82158,40979,41179,434177,100.0,61.283050814088554,38.716949185911446,0.39145814055742584,0.2172215331508935,0.1742366074065324,9.76479698646139,6.58161557694958,3.1831814095118096,4.774608049665637,2.508547765768249,2.2660602838973873,5.4741795129250095,3.005991639267878,2.468187873657131,0.1499550462990307,0.07842287979314735,0.07153216650588336,1.345329737037256,0.8974333733650962,0.44789636367215957,1.6468804756560942,1.01916930810676,0.6277111675493342,0.7126966314255901,0.3950675618031356,0.3176290696224546,75.74009541997256,46.57958117588382,29.160514244088752,100.0,50.89051839374436,49.10948160625565,0.3732064070963305,0.16303633933193734,0.21017006776439315,11.470495058685355,6.330600607329681,5.139894451355674,6.104976858112024,2.4285460403804695,3.676430817731554,5.743360712105641,2.861249121071867,2.882111591033774,0.17153586413123265,0.08576793206561632,0.08576793206561632,7.456401301199979,4.677829375903075,2.778571925296904,4.086726060315718,2.1712422441836203,1.9154838161320982,1.1111196964896963,0.5084261198123923,0.6026935766773039,63.482178041864024,31.66382061366569,31.818357428198336,2016,3951,1676,0.3860176840320883,44604,10.273229581484049,22452,5.171162912821268,24116,5.554416747087018,679,0.15638783261204534,13750,3.166911190597383,10308,2.37414694928566,3610,0.8314581380404766,312982,72.08626896404002
303047,130372,184869,118178,1185,644,541,30859,20637,10222,14517,7646,6871,16972,9278,7694,465,240,225,3834,2514,1320,5215,3251,1964,2142,1169,973,227858,139490,88368,65917,64455,488,226,262,15181,8369,6812,8227,3297,4930,7767,3841,3926,224,105,119,9893,6151,3742,5298,2832,2466,1577,714,863,81717,40382,41335,433419,100.0,61.00340871217996,38.996591287820046,0.39102845433216626,0.21250829079317732,0.178520163538989,10.182908921718413,6.809834778103727,3.373074143614687,4.790346051932539,2.5230409804419778,2.2673050714905605,5.600451415127027,3.061571307420961,2.5388801077060656,0.15344154537085006,0.07919563632043874,0.07424590905041133,1.2651502902190088,0.8295742904565959,0.43557599976241307,1.7208551808795336,1.0727708903239432,0.6480842905555905,0.7068210541599158,0.38574874524413705,0.32107230891577876,75.18899708626054,46.029163793075,29.159833293185542,100.0,50.560703218482494,49.439296781517506,0.3743135028993956,0.1733501058509496,0.20096339704844599,11.64437149081091,6.4193231675513145,5.225048323259596,6.310404074494523,2.5289172521707113,3.781486822323812,5.957567575859847,2.946184763599546,3.0113828122603015,0.17181603411775534,0.08053876599269781,0.09127726812505753,7.588285828245329,4.718037615438898,2.870248212806431,4.063756021231553,2.1722455742030498,1.8915104470285031,1.2096155616236615,0.5476636087503451,0.6619519528733164,62.679869910717024,30.974442364924982,31.70542754579204,2017,3887,1673,0.3860006137248252,46040,10.622515395033444,22744,5.247577978814958,24739,5.707871597691841,689,0.1589685731359262,13727,3.1671431109388375,10513,2.4255974011291612,3719,0.8580611371444261,309575,71.42626419238658
302816,131591,183707,119109,1128,599,529,31878,21136,10742,14435,7555,6880,17251,9457,7794,488,263,225,4138,2729,1409,5672,3560,2112,2348,1192,1156,225478,137216,88262,66201,65390,488,208,280,15366,8428,6938,8373,3345,5028,7958,3877,4081,229,117,112,10818,6738,4080,5828,3105,2723,1702,742,960,80829,39641,41188,434407,100.0,60.66621314593681,39.33378685406319,0.37250343442882805,0.19780989115502481,0.17469354327380324,10.527184825108318,6.979816125964282,3.5473686991440343,4.766921166649054,2.4949144034661312,2.2720067631829233,5.696858818556484,3.123018598753038,2.573840219803445,0.1611539680862306,0.08685142132516115,0.07430254676106943,1.3665063933213568,0.9012073338264821,0.46529905949487477,1.87308464546127,1.1756314065306985,0.6974532389305718,0.7753883546444045,0.39363838106308785,0.38174997358131674,74.46039839374406,45.3133255838529,29.147072809891156,100.0,50.308151773297574,49.69184822670243,0.3708460305036059,0.15806552119825823,0.21278050930534764,11.677090378521328,6.404693330090963,5.272397048430364,6.36289715862027,2.541967155808528,3.8209300028117426,6.04752604661413,2.946250123488688,3.1012759231254416,0.1740240593961593,0.08891185567402025,0.08511220372213905,8.22092696309018,5.120410970355115,3.1005159927350654,4.428874315112736,2.35958386211823,2.069290452994506,1.2934015244203632,0.5638683496591712,0.729533174761192,61.42441352372122,30.12440060490459,31.300012918816638,2018,3701,1616,0.37200137198525807,47244,10.875515357717532,22808,5.2503757996533205,25209,5.803083283648744,717,0.165052588931578,14956,3.442854281814059,11500,2.6472869912317254,4050,0.9323054186511727,306307,70.5115249063666
303149,129384,182720,120429,1072,588,484,33313,21818,11495,14650,7603,7047,17393,9499,7894,487,252,235,4040,2660,1380,5769,3614,2155,2426,1304,1122,223999,135382,88617,64353,65031,504,203,301,15407,8352,7055,8430,3408,5022,8009,3906,4103,219,106,113,10871,6694,4177,5821,3051,2770,1778,773,1005,78345,37860,40485,432533,100.0,60.27399067785149,39.72600932214851,0.35362148646375213,0.19396402429168494,0.1596574621720672,10.988985614334865,7.1971208877482695,3.791864726586596,4.832607067811538,2.508007613417824,2.3245994543937143,5.737442643716456,3.1334426305216247,2.6040000131948315,0.16064707454090235,0.08312743898215069,0.07751963555875163,1.3326779900313046,0.8774563003671462,0.45522168966415855,1.9030245852699499,1.1921530336567165,0.7108715516132331,0.8002665355980062,0.4301515096536686,0.3701150259443376,73.89072700223322,44.6585672392124,29.232159763020825,100.0,49.73798924132814,50.26201075867186,0.38953811908736785,0.15689729796574536,0.23264082112162246,11.907963890434676,6.455203116304952,5.452760774129723,6.515488777592283,2.6340196624002967,3.8814691151919862,6.190100785259383,3.0189204229271005,3.171180362332282,0.16926358746058245,0.08192666790329561,0.08733691955728684,8.402120818648365,5.173746367402461,3.228374451245904,4.499010696840413,2.3580968280467447,2.1409138687936684,1.3742039201137697,0.5974463612193162,0.7767575588944536,60.55230940456317,29.26173251715823,31.290576887404935,2019,3645,1576,0.3643652623036855,48720,11.263880443804288,23080,5.336009044396612,25402,5.872846696090241,706,0.16322454009289467,14911,3.4473670217070143,11590,2.679564333819616,4204,0.9719489611197295,302344,69.90079369666591
302992,125089,181070,121922,1068,571,497,34608,22453,12155,14584,7528,7056,17816,9721,8095,500,262,238,4055,2596,1459,6213,3809,2404,2569,1364,1205,221579,132766,88813,61814,63275,489,189,300,15124,8084,7040,8614,3486,5128,7906,3845,4061,235,116,119,11117,6810,4307,5692,2942,2750,1884,818,1066,74028,35524,38504,428081,100.0,59.76065374663357,40.23934625336643,0.3524845540476316,0.18845382056291915,0.16403073348471248,11.422083751386175,7.41042667793209,4.011657073454085,4.813328404710355,2.4845540476316206,2.3287743570787347,5.880023234936896,3.2083355336114483,2.6716877013254474,0.16502085863653165,0.08647092992554259,0.07854992871098906,1.3383191635422718,0.8567882980408723,0.48153086550139934,2.0505491894175427,1.2571289010930982,0.7934202883244442,0.8478771716744996,0.4501769023604584,0.39770026931404123,73.1303136716481,43.81831863547552,29.311995036172572,100.0,49.41601579675271,50.58398420324729,0.39092166377539195,0.15109242219539687,0.23982924157999502,12.090591498852817,6.4625986297755995,5.627992869077217,6.886296956566924,2.7868157871595427,4.099481169407381,6.320299946438136,3.07381144625027,3.2464885001878665,0.1878662392376628,0.09273397341093141,0.09513226582673137,8.88727226214935,5.444123783865887,3.443148478283462,4.550360143577772,2.351925429094485,2.198434714483288,1.5061276371223689,0.6539343987081199,0.852193238414249,59.18026365227958,28.398979926292476,30.781283725987095,2020,3594,1557,0.36371621258593584,49732,11.617427542918279,23198,5.419067886684997,25722,6.008675928153783,735,0.17169647800299476,15172,3.544189067022362,11905,2.781015742347827,4453,1.0402236959827698,295607,69.05398744630105
307311,124776,191996,115315,1205,650,555,26555,18438,8117,14419,7729,6690,15620,8598,7022,462,250,212,3398,2314,1084,4890,3102,1788,1744,989,755,239018,149926,89092,64438,60338,526,234,292,13772,7760,6012,7780,3184,4596,6302,3180,3122,238,98,140,8201,5146,3055,4388,2360,2028,998,431,567,82571,42045,40526,432087,100.0,62.476123536092096,37.5238764639079,0.39211092346190013,0.2115121163902366,0.18059880707166356,8.641083462681127,5.99978523385105,2.641298228830078,4.691989548047418,2.515041765507906,2.176947782539512,5.082798858485378,2.797817194958853,2.2849816635265254,0.15033630426506048,0.08135081399624484,0.06898549026881563,1.1057202638369599,0.7529831343492422,0.3527371294877177,1.591221921766549,1.009400900065406,0.5818210217011431,0.5675032784378041,0.3218238201691446,0.24567945826865942,77.7772354390178,48.78640855680402,28.99082688221378,100.0,51.64294415592742,48.357055844072576,0.4215554273257678,0.18753606462781303,0.23401936269795473,11.037378983137783,6.219144707315509,4.818234275822274,6.235173430787972,2.5517727768160543,3.6834006539719173,5.050650766172982,2.5485670321215617,2.50208373405142,0.19074180932230558,0.078540745015067,0.11220106430723858,6.572578059883311,4.124190549464641,2.4483875104186703,3.516701929858306,1.891389369750593,1.625312560107713,0.7998333012758864,0.3454189908315702,0.4544143104443162,66.17538629223569,33.69638391998461,32.479002372251074,2013,4400,1731,0.40061376528338044,40327,9.333074126275495,22199,5.137622747270805,21922,5.07351528743054,700,0.16200441114868072,11599,2.684413092733639,9278,2.1472527523392277,2742,0.6345944219566892,321589,74.42690939556155
259614,99933,161498,98116,1033,550,483,24442,16816,7626,12525,6669,5856,13111,7325,5786,354,169,185,3160,2111,1049,3866,2438,1428,1521,854,667,199602,124566,75036,51242,48691,460,221,239,10787,6024,4763,6057,2428,3629,5183,2587,2596,199,68,131,7429,4655,2774,3777,2065,1712,931,413,518,65110,32781,32329,359547,100.0,62.20696880753734,37.79303119246266,0.39789841842119456,0.2118529817344211,0.18604543668677345,9.414746508277675,6.477308619720046,2.937437888557628,4.824470174952044,2.568813700339735,2.255656474612309,5.050189897309082,2.821496529462972,2.2286933678461103,0.13635628278906375,0.06509664347839485,0.07125963931066892,1.2171916768741287,0.8131302626206599,0.4040614142534686,1.4891338679732218,0.9390864899427611,0.5500473780304607,0.5858697913055536,0.3289499025476284,0.2569198887579252,76.88414338209803,47.981233677690724,28.902909704407314,100.0,51.276355157955834,48.723644842044166,0.46030840663244377,0.2211481692734132,0.23916023735903055,10.794232135530805,6.028038785986611,4.766193349544195,6.061060910810243,2.4296278506599425,3.6314330601503007,5.186474938208599,2.5887344520828957,2.5977404861257045,0.19913341939099197,0.0680455905456656,0.13108782884532638,7.433980767113966,4.65812094103049,2.775859826083476,3.779532286632043,2.066384477599992,1.7131478090320513,0.931624188206098,0.41327689551999847,0.5183472926860997,65.15365294747481,32.802977995256825,32.350674952217986,2014,2382,1493,0.415244738518191,35229,9.798162688049128,18582,5.168169947183539,18294,5.088069153685053,553,0.15380464862730048,10589,2.945094799845361,7643,2.125730433017102,2452,0.6819692557579399,264712,73.62375433531638
307553,126313,189576,117977,1240,683,557,29022,19712,9310,14721,7777,6944,16306,8939,7367,485,280,205,3865,2553,1312,4911,3082,1829,2054,1113,941,234949,145437,89512,64568,61745,483,216,267,14127,7898,6229,7566,3034,4532,6793,3384,3409,231,105,126,9030,5678,3352,5017,2716,2301,1298,593,705,81768,40944,40824,433866,100.0,61.640107558697196,38.359892441302804,0.4031825408953904,0.2220755447028642,0.18110699619252615,9.436422340214532,6.409301811395109,3.027120528819423,4.7864920842911625,2.5286698552769766,2.257822229014186,5.3018504127743835,2.906490913761205,2.3953594990131784,0.15769639704376157,0.09104121891186234,0.06665517813189922,1.2566939681940998,0.8301008281499449,0.42659314004415505,1.5967979502719856,1.0021037024512849,0.5946942478207008,0.6678523701605902,0.36188884517465286,0.3059635249859374,76.3930119361541,47.2884348388733,29.104577097280792,100.0,51.11746217728975,48.882537822710255,0.38238344430106164,0.17100377633339403,0.21137966796766763,11.184121982693785,6.252721414264566,4.931400568429219,5.989882276566941,2.401969710164433,3.587912566402508,5.377910428855303,2.6790591625565066,2.698851266298797,0.1828790385787686,0.0831268357176221,0.09975220286114653,7.1489078717155,4.495182601949126,2.653725269766374,3.971879379002953,2.1502141505624914,1.8216652284404615,1.0276060262997475,0.4694687007671419,0.5581373255326055,64.73442955198594,32.414715824974465,32.319713727011475,2015,4147,1723,0.3971272236128205,43149,9.94523654768984,22287,5.136839485002282,23099,5.323994044244075,716,0.165027911843749,12895,2.9721158145602558,9928,2.288264118414441,3352,0.7725887716483891,316717,72.99880608298415
